39.83 Mbps,38.75 Mbps,43.41 Mbps,
39.85 Mbps,39.2 Mbps,46.49 Mbps,
39.8 Mbps,39.01 Mbps,43.5 Mbps,
48.79 Mbps,47.05 Mbps,55.06 Mbps,
48.11 Mbps,46.59 Mbps,51.34 Mbps,
22.88 Mbps,19.96 Mbps,29.1 Mbps,
47.87 Mbps,42.32 Mbps,50.89 Mbps,
47.78 Mbps,46.16 Mbps,48.82 Mbps,
44.61 Mbps,43.05 Mbps,50.56 Mbps,
47.11 Mbps,42.85 Mbps,49.55 Mbps,
47.35 Mbps,42.67 Mbps,52.16 Mbps,
46.54 Mbps,41.73 Mbps,52.85 Mbps,
44.03 Mbps,42.9 Mbps,46.73 Mbps,
33.63 Mbps,27.64 Mbps,42.9 Mbps,
26.72 Mbps,24.73 Mbps,37.07 Mbps,
30.33 Mbps,26.42 Mbps,39.58 Mbps,
45.29 Mbps,41.8 Mbps,52.02 Mbps,
45.0 Mbps,43.38 Mbps,46.62 Mbps,
53.99 Mbps,45.75 Mbps,64.32 Mbps,
